"module name","licenses","repository","licenseUrl","parents"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert","https://github.com/Qix-/color-convert/raw/master/LICENSE","@babel/highlight:cards"
"color-convert@2.0.1","MIT","https://github.com/Qix-/color-convert","https://github.com/Qix-/color-convert/raw/master/LICENSE","cards"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name","https://github.com/dfcreative/color-name/raw/master/LICENSE","@babel/highlight:cards"
"color-name@1.1.4","MIT","https://github.com/colorjs/color-name","https://github.com/colorjs/color-name/raw/master/LICENSE","cards"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map","https://github.com/substack/node-concat-map/raw/master/LICENSE","cards"
"configstore@5.0.1","BSD-2-Clause","https://github.com/yeoman/configstore","https://github.com/yeoman/configstore/raw/master/license","cards"
"content-disposition@0.5.3","MIT","https://github.com/jshttp/content-disposition","https://github.com/jshttp/content-disposition/raw/master/LICENSE","cards"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type","https://github.com/jshttp/content-type/raw/master/LICENSE","cards"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature","https://github.com/visionmedia/node-cookie-signature","cards"
"cookie@0.4.0","MIT","https://github.com/jshttp/cookie","https://github.com/jshttp/cookie/raw/master/LICENSE","cards"
"create-require@1.1.1","MIT","https://github.com/nuxt-contrib/create-require","https://github.com/nuxt-contrib/create-require/raw/master/LICENSE","cards"
"cross-spawn@7.0.3","MIT","https://github.com/moxystudio/node-cross-spawn","https://github.com/moxystudio/node-cross-spawn/raw/master/LICENSE","cards"
"crypto-random-string@2.0.0","MIT","https://github.com/sindresorhus/crypto-random-string","https://github.com/sindresorhus/crypto-random-string/raw/master/license","cards"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","cards"
"debug@3.2.7","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","nodemon:cards"
"debug@4.3.1","MIT","https://github.com/visionmedia/debug","https://github.com/visionmedia/debug/raw/master/LICENSE","memorystore:cards"
"decompress-response@3.3.0","MIT","https://github.com/sindresorhus/decompress-response","https://github.com/sindresorhus/decompress-response/raw/master/license","cards"
"deep-extend@0.6.0","MIT","https://github.com/unclechu/node-deep-extend","https://github.com/unclechu/node-deep-extend/raw/master/LICENSE","cards"
"deep-is@0.1.3","MIT","https://github.com/thlorenz/deep-is","https://github.com/thlorenz/deep-is/blob/master/LICENSE","cards"
"defer-to-connect@1.1.3","MIT","https://github.com/szmarczak/defer-to-connect","https://github.com/szmarczak/defer-to-connect/raw/master/LICENSE","cards"
"depd@1.1.2","MIT","https://github.com/dougwilson/nodejs-depd","https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","cards"
"depd@2.0.0","MIT","https://github.com/dougwilson/nodejs-depd","https://github.com/dougwilson/nodejs-depd/raw/master/LICENSE","express-session:cards"
"destroy@1.0.4","MIT","https://github.com/stream-utils/destroy","https://github.com/stream-utils/destroy/raw/master/LICENSE","cards"
"diff@4.0.2","BSD-3-Clause","https://github.com/kpdecker/jsdiff","https://github.com/kpdecker/jsdiff/raw/master/LICENSE","cards"
"dir-glob@3.0.1","MIT","https://github.com/kevva/dir-glob","https://github.com/kevva/dir-glob/raw/master/license","cards"
"doctrine@3.0.0","Apache-2.0","https://github.com/eslint/doctrine","https://github.com/eslint/doctrine/raw/master/LICENSE","cards"
"dot-prop@5.3.0","MIT","https://github.com/sindresorhus/dot-prop","https://github.com/sindresorhus/dot-prop/raw/master/license","cards"
"duplexer3@0.1.4","BSD-3-Clause","https://github.com/floatdrop/duplexer3","https://github.com/floatdrop/duplexer3/raw/master/LICENSE.md","cards"
"ee-first@1.1.1","MIT","https://github.com/jonathanong/ee-first","https://github.com/jonathanong/ee-first/raw/master/LICENSE","cards"
"emoji-regex@7.0.3","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","cards"
"emoji-regex@8.0.0","MIT","https://github.com/mathiasbynens/emoji-regex","https://github.com/mathiasbynens/emoji-regex/raw/master/LICENSE-MIT.txt","string-width:cards"
"encodeurl@1.0.2","MIT","https://github.com/pillarjs/encodeurl","https://github.com/pillarjs/encodeurl/raw/master/LICENSE","cards"
"end-of-stream@1.4.4","MIT","https://github.com/mafintosh/end-of-stream","https://github.com/mafintosh/end-of-stream/raw/master/LICENSE","cards"
"enquirer@2.3.6","MIT","https://github.com/enquirer/enquirer","https://github.com/enquirer/enquirer/raw/master/LICENSE","cards"
"escape-goat@2.1.1","MIT","https://github.com/sindresorhus/escape-goat","https://github.com/sindresorhus/escape-goat/raw/master/license","cards"
"escape-html@1.0.3","MIT","https://github.com/component/escape-html","https://github.com/component/escape-html/raw/master/LICENSE","cards"
"escape-string-regexp@1.0.5","MIT","https://github.com/sindresorhus/escape-string-regexp","https://github.com/sindresorhus/escape-string-regexp/raw/master/license","cards"
"eslint-scope@5.1.1","BSD-2-Clause","https://github.com/eslint/eslint-scope","https://github.com/eslint/eslint-scope/raw/master/LICENSE","cards"
"eslint-utils@2.1.0","MIT","https://github.com/mysticatea/eslint-utils","https://github.com/mysticatea/eslint-utils/raw/master/LICENSE","cards"
"eslint-visitor-keys@1.3.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys","https://github.com/eslint/eslint-visitor-keys/raw/master/LICENSE","eslint-utils:cards"
"eslint-visitor-keys@2.0.0","Apache-2.0","https://github.com/eslint/eslint-visitor-keys","https://github.com/eslint/eslint-visitor-keys/raw/master/LICENSE","cards"
"eslint@7.15.0","MIT","https://github.com/eslint/eslint","https://github.com/eslint/eslint/raw/master/LICENSE","cards"
"espree@7.3.1","BSD-2-Clause","https://github.com/eslint/espree","https://github.com/eslint/espree/raw/master/LICENSE","cards"
"esprima@4.0.1","BSD-2-Clause","https://github.com/jquery/esprima","https://github.com/jquery/esprima/raw/master/LICENSE.BSD","cards"
"esquery@1.3.1","BSD-3-Clause","https://github.com/estools/esquery","https://github.com/estools/esquery/raw/master/license.txt","cards"
"esrecurse@4.3.0","BSD-2-Clause","https://github.com/estools/esrecurse","https://github.com/estools/esrecurse","cards"
"estraverse@4.3.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","cards"
"estraverse@5.2.0","BSD-2-Clause","https://github.com/estools/estraverse","https://github.com/estools/estraverse/raw/master/LICENSE.BSD","esrecurse:cards"
"esutils@2.0.3","BSD-2-Clause","https://github.com/estools/esutils","https://github.com/estools/esutils/raw/master/LICENSE.BSD","cards"
"etag@1.8.1","MIT","https://github.com/jshttp/etag","https://github.com/jshttp/etag/raw/master/LICENSE","cards"
"express-sanitizer@1.0.5","MIT","https://github.com/markau/express-sanitizer","https://github.com/markau/express-sanitizer","cards"
"express-session@1.17.1","MIT","https://github.com/expressjs/session","https://github.com/expressjs/session/raw/master/LICENSE","cards"
"express-ws@4.0.0","BSD-2-Clause","https://github.com/HenningM/express-ws","https://github.com/HenningM/express-ws/raw/master/LICENSE","cards"
"express@4.17.1","MIT","https://github.com/expressjs/express","https://github.com/expressjs/express/raw/master/LICENSE","cards"
"fast-deep-equal@3.1.3","MIT","https://github.com/epoberezkin/fast-deep-equal","https://github.com/epoberezkin/fast-deep-equal/raw/master/LICENSE","cards"
"fast-glob@3.2.4","MIT","https://github.com/mrmlnc/fast-glob","https://github.com/mrmlnc/fast-glob/raw/master/LICENSE","cards"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify","https://github.com/epoberezkin/fast-json-stable-stringify/raw/master/LICENSE","cards"
"fast-levenshtein@2.0.6","MIT","https://github.com/hiddentao/fast-levenshtein","https://github.com/hiddentao/fast-levenshtein/raw/master/LICENSE.md","cards"
"fastq@1.9.0","ISC","https://github.com/mcollina/fastq","https://github.com/mcollina/fastq/raw/master/LICENSE","cards"
"file-entry-cache@6.0.0","MIT","https://github.com/royriojas/file-entry-cache","https://github.com/royriojas/file-entry-cache/raw/master/LICENSE","cards"
"fill-range@7.0.1","MIT","https://github.com/jonschlinkert/fill-range","https://github.com/jonschlinkert/fill-range/raw/master/LICENSE","cards"
"finalhandler@1.1.2","MIT","https://github.com/pillarjs/finalhandler","https://github.com/pillarjs/finalhandler/raw/master/LICENSE","cards"
"flat-cache@3.0.4","MIT","https://github.com/royriojas/flat-cache","https://github.com/royriojas/flat-cache/raw/master/LICENSE","cards"
"flatted@3.1.0","ISC","https://github.com/WebReflection/flatted","https://github.com/WebReflection/flatted/raw/master/LICENSE","cards"
"forwarded@0.1.2","MIT","https://github.com/jshttp/forwarded","https://github.com/jshttp/forwarded/raw/master/LICENSE","cards"
"fresh@0.5.2","MIT","https://github.com/jshttp/fresh","https://github.com/jshttp/fresh/raw/master/LICENSE","cards"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath","https://github.com/isaacs/fs.realpath/raw/master/LICENSE","cards"
"functional-red-black-tree@1.0.1","MIT","https://github.com/mikolalysenko/functional-red-black-tree","https://github.com/mikolalysenko/functional-red-black-tree/raw/master/LICENSE","cards"
"get-stream@4.1.0","MIT","https://github.com/sindresorhus/get-stream","https://github.com/sindresorhus/get-stream/raw/master/license","cards"
"get-stream@5.2.0","MIT","https://github.com/sindresorhus/get-stream","https://github.com/sindresorhus/get-stream/raw/master/license","cacheable-request:cards"
"glob-parent@5.1.1","ISC","https://github.com/gulpjs/glob-parent","https://github.com/gulpjs/glob-parent/raw/master/LICENSE","cards"
"glob@7.1.6","ISC","https://github.com/isaacs/node-glob","https://github.com/isaacs/node-glob/raw/master/LICENSE","cards"
"global-dirs@2.1.0","MIT","https://github.com/sindresorhus/global-dirs","https://github.com/sindresorhus/global-dirs/raw/master/license","cards"
"globals@12.4.0","MIT","https://github.com/sindresorhus/globals","https://github.com/sindresorhus/globals/raw/master/license","cards"
"globby@11.0.1","MIT","https://github.com/sindresorhus/globby","https://github.com/sindresorhus/globby/raw/master/license","cards"
"got@9.6.0","MIT","https://github.com/sindresorhus/got","https://github.com/sindresorhus/got/raw/master/license","cards"
"graceful-fs@4.2.4","ISC","https://github.com/isaacs/node-graceful-fs","https://github.com/isaacs/node-graceful-fs/raw/master/LICENSE","cards"
"has-flag@3.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","cards"
"has-flag@4.0.0","MIT","https://github.com/sindresorhus/has-flag","https://github.com/sindresorhus/has-flag/raw/master/license","chalk:cards"
"has-yarn@2.1.0","MIT","https://github.com/sindresorhus/has-yarn","https://github.com/sindresorhus/has-yarn/raw/master/license","cards"
"http-cache-semantics@4.1.0","BSD-2-Clause","https://github.com/kornelski/http-cache-semantics","https://github.com/kornelski/http-cache-semantics/raw/master/LICENSE","cards"
"http-errors@1.7.2","MIT","https://github.com/jshttp/http-errors","https://github.com/jshttp/http-errors/raw/master/LICENSE","cards"
